127.0.0.1, 2016-10-10 14:57:08, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000548
127.0.0.1, 2016-10-10 14:57:08, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001397
127.0.0.1, 2016-10-10 14:57:08, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000846
127.0.0.1, 2016-10-10 14:57:08, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000458
127.0.0.1, 2016-10-10 14:57:08, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000238
127.0.0.1, 2016-10-10 14:57:08, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001362
127.0.0.1, 2016-10-10 14:57:08, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000207
127.0.0.1, 2016-10-10 14:57:09, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000545
127.0.0.1, 2016-10-10 14:57:09, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000372
127.0.0.1, 2016-10-10 14:57:09, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000496
127.0.0.1, 2016-10-10 14:57:09, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001147
127.0.0.1, 2016-10-10 14:57:09, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000593
127.0.0.1, 2016-10-10 14:57:10, GET, /admin/default/site, HTTP/1.1, 200, 0.038552
127.0.0.1, 2016-10-10 14:58:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000242
127.0.0.1, 2016-10-10 14:58:38, POST, /admin/default/site, HTTP/1.1, 303, 0.077520
127.0.0.1, 2016-10-10 14:58:38, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.320103
127.0.0.1, 2016-10-10 14:58:39, GET, /admin/static/_2.14.6/images/search.png, HTTP/1.1, 200, 0.000291
127.0.0.1, 2016-10-10 14:58:39, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000215
127.0.0.1, 2016-10-10 14:58:39, GET, /admin/static/_2.14.6/images/delete_icon.png, HTTP/1.1, 200, 0.000225
127.0.0.1, 2016-10-10 14:58:39, GET, /admin/static/_2.14.6/images/test_icon.png, HTTP/1.1, 200, 0.000227
127.0.0.1, 2016-10-10 14:58:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000194
127.0.0.1, 2016-10-10 14:58:43, GET, /admin/default/site, HTTP/1.1, 200, 0.039270
127.0.0.1, 2016-10-10 14:58:45, GET, /hello/default/index, HTTP/1.1, 200, 0.077134
127.0.0.1, 2016-10-10 14:58:45, GET, /hello/static/js/calendar.js, HTTP/1.1, 200, 0.000929
127.0.0.1, 2016-10-10 14:58:45, GET, /hello/static/js/jquery.js, HTTP/1.1, 200, 0.000690
127.0.0.1, 2016-10-10 14:58:45, GET, /hello/static/css/calendar.css, HTTP/1.1, 200, 0.001252
127.0.0.1, 2016-10-10 14:58:45, GET, /hello/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001007
127.0.0.1, 2016-10-10 14:58:45, GET, /hello/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001790
127.0.0.1, 2016-10-10 14:58:45, GET, /hello/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002472
127.0.0.1, 2016-10-10 14:58:45, GET, /hello/static/js/web2py.js, HTTP/1.1, 200, 0.000524
127.0.0.1, 2016-10-10 14:58:45, GET, /hello/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000795
127.0.0.1, 2016-10-10 14:58:45, GET, /hello/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000607
127.0.0.1, 2016-10-10 14:58:45, GET, /hello/static/js/share.js, HTTP/1.1, 200, 0.000613
127.0.0.1, 2016-10-10 14:58:45, GET, /hello/static/images/background.jpg, HTTP/1.1, 200, 0.000591
127.0.0.1, 2016-10-10 14:58:45, GET, /hello/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000465
127.0.0.1, 2016-10-10 14:58:45, GET, /hello/static/images/facebook.png, HTTP/1.1, 200, 0.000780
127.0.0.1, 2016-10-10 14:58:45, GET, /hello/static/images/twitter.png, HTTP/1.1, 200, 0.001118
127.0.0.1, 2016-10-10 14:58:45, GET, /hello/static/images/gplus-32.png, HTTP/1.1, 200, 0.000731
127.0.0.1, 2016-10-10 14:58:45, GET, /hello/static/images/favicon.ico, HTTP/1.1, 200, 0.000285
127.0.0.1, 2016-10-10 14:58:47, GET, /admin/default/site, HTTP/1.1, 200, 0.034657
127.0.0.1, 2016-10-10 14:58:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.026626
127.0.0.1, 2016-10-10 14:58:49, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000422
127.0.0.1, 2016-10-10 14:58:49, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001327
127.0.0.1, 2016-10-10 14:58:49, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001167
127.0.0.1, 2016-10-10 14:58:49, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002313
